,CrimeDate,CrimeTime,CrimeCode,Location,Description,Inside/Outside,Weapon,Post,District,Neighborhood,Longitude,Latitude,Location 1,Premise,Total Incidents,CrimeId,callDateTime,Priority,CallDescription,CallId
87068,2015-11-27 00:00:00,19:00:00,6D,800 BOYD ST,LARCENY FROM AUTO,O,,931.0,SOUTHERN,Hollins Market,-76.62895999999999,39.28751,"(39.2875100000, -76.6289600000)",ALLEY,1,87068,2015-11-27 18:01:00,Low,DESTRUCT PROPTY,
87072,2015-11-27 00:00:00,18:45:00,6C,3500 BOSTON ST,LARCENY,I,,233.0,SOUTHEASTERN,Canton Industrial Area,-76.56719,39.27704,"(39.2770400000, -76.5671900000)",SPECIALTY,1,87072,2015-11-28 14:00:00,Low,LARCENCY,
87073,2015-11-27 00:00:00,18:43:00,4C,5900 MORAVIA RD,AGG. ASSAULT,O,OTHER,443.0,NORTHEASTERN,Frankford,-76.54521,39.317029999999995,"(39.3170300000, -76.5452100000)",STREET,1,87073,2015-11-28 19:16:00,Low,INVESTGATE,
87087,2015-11-27 00:00:00,18:00:00,6D,1600 N CALVERT ST,LARCENY FROM AUTO,O,,141.0,CENTRAL,Greenmount West,-76.61361,39.30794,"(39.3079400000, -76.6136100000)",STREET,1,87087,2015-11-28 18:23:00,Low,LARCENY F/AUTO,
87092,2015-11-27 00:00:00,17:30:00,6D,100 S HIGH ST,LARCENY FROM AUTO,O,,211.0,SOUTHEASTERN,Jonestown,-76.60318000000001,39.288759999999996,"(39.2887600000, -76.6031800000)",STREET,1,87092,2015-11-27 21:24:00,Low,LARCENY F/AUTO,
87093,2015-11-27 00:00:00,17:25:00,6J,100 INTERNATIONAL DR,LARCENY,O,,211.0,SOUTHEASTERN,Inner Harbor,-76.60181,39.28275,"(39.2827500000, -76.6018100000)",STREET,1,87093,2015-11-27 17:21:00,Low,LARCENCY,
87098,2015-11-27 00:00:00,17:00:00,7A,600 BRIDGEVIEW RD,AUTO THEFT,O,,922.0,SOUTHERN,Cherry Hill,-76.62187,39.24953,"(39.2495300000, -76.6218700000)",STREET,1,87098,2015-11-28 18:10:00,High,SILENT ALARM,
87108,2015-11-27 00:00:00,15:13:00,6E,1600 E BIDDLE ST,LARCENY,I,,343.0,EASTERN,Oliver,-76.59600999999999,39.30426,"(39.3042600000, -76.5960100000)",UNKNOWN,1,87108,2015-11-27 14:41:00,Low,LARCENY F/AUTO,
87110,2015-11-27 00:00:00,15:00:00,6E,5500 BELAIR RD,LARCENY,I,,426.0,NORTHEASTERN,Waltherson,-76.54935,39.339729999999996,"(39.3397300000, -76.5493500000)",CAR  REPAI,1,87110,2015-11-27 13:49:00,Medium,NARCOTICSOutside,
87112,2015-11-27 00:00:00,15:00:00,6D,5700 OAKSHIRE RD,LARCENY FROM AUTO,O,,533.0,NORTHERN,Mount Washington,-76.66701,39.362790000000004,"(39.3627900000, -76.6670100000)",STREET,1,87112,2015-11-27 15:56:00,Low,LARCENY F/AUTO,
87125,2015-11-27 00:00:00,12:20:00,3BJ,2700 NORTHSHIRE DR,ROBBERY - CARJACKING,O,,923.0,SOUTHERN,Lakeland,-76.64238,39.25632,"(39.2563200000, -76.6423800000)",STREET,1,87125,2015-11-27 12:24:00,High,CAR JACKING,
87128,2015-11-27 00:00:00,12:20:00,3BJ,2700 NORTHSHIRE DR,ROBBERY - CARJACKING,O,,923.0,SOUTHERN,Lakeland,-76.64238,39.25632,"(39.2563200000, -76.6423800000)",STREET,1,87128,2015-11-27 12:24:00,High,CAR JACKING,
87141,2015-11-27 00:00:00,08:00:00,4E,700 N BROADWAY,COMMON ASSAULT,I,HANDS,321.0,EASTERN,Middle East,-76.59411,39.298590000000004,"(39.2985900000, -76.5941100000)",HOSP/NURS.,1,87141,2015-11-27 14:30:00,High,RA POLICE,
