Unnamed: 0,CrimeDate,CrimeTime,CrimeCode,Location,Description,Inside/Outside,Weapon,Post,District,Neighborhood,Longitude,Latitude,Location 1,Premise,Total Incidents,callDateTime,Priority,CallDescription,Season,Month,Hour
129483,2015-01-18,02:00:00,5D,2300 WILKENS AV,BURGLARY,Inside,NONE,841.0,SOUTHWESTERN,Carrollton Ridge,-76.65248000000003,39.28019000000001,"(39.2801900000, -76.6524800000)",RETAIL/SMA,1,2015-01-18 02:01:00,Medium,Burglary,winter,1,2
129484,2015-01-18,02:00:00,4C,1300 S PONCA ST,AGG. ASSAULT,Outside,OTHER,233.0,SOUTHEASTERN,Canton Industrial Area,-76.55441,39.27886,"(39.2788600000, -76.5544100000)",PARKING LO,1,2015-01-18 02:02:00,Medium,Common Assault,winter,1,2
129485,2015-01-18,01:52:00,3AF,4300 ELDONE RD,ROBBERY - STREET,Inside,FIREARM,833.0,SOUTHWESTERN,Yale Heights,-76.68799,39.27611,"(39.2761100000, -76.6879900000)",OTHER - IN,1,2015-01-18 01:48:00,High,Robbery Armed,winter,1,1
129486,2015-01-18,01:01:00,6G,2000 E BALTIMORE ST,LARCENY,Inside,NONE,212.0,SOUTHEASTERN,Butcher's Hill,-76.58901999999998,39.29168,"(39.2916800000, -76.5890200000)",RELIGIOUS,1,2015-01-19 19:22:00,Non-Emergency,Recovered Propty,winter,1,1
129488,2015-01-18,01:00:00,6D,1000 E PATAPSCO AV,LARCENY FROM AUTO,Outside,NONE,912.0,SOUTHERN,Fairfield Area,-76.59470999999998,39.23399000000001,"(39.2339900000, -76.5947100000)",DRIVEWAY,1,2015-01-19 14:09:00,Low,Larceny f/Auto,winter,1,1
129490,2015-01-18,00:45:00,6D,2300 JEFFERSON ST,LARCENY FROM AUTO,Outside,NONE,221.0,SOUTHEASTERN,McElderry Park,-76.58452,39.29666,"(39.2966600000, -76.5845200000)",STREET,1,2015-01-18 13:23:00,Low,Larceny f/Auto,winter,1,0
129240,2015-01-19,23:00:00,6D,1400 N CALVERT ST,LARCENY FROM AUTO,Outside,NONE,141.0,CENTRAL,Mid-Town Belvedere,-76.61346999999998,39.3057,"(39.3057000000, -76.6134700000)",STREET,1,2015-01-19 11:42:00,Low,Destruct Propty,winter,1,23
129242,2015-01-19,23:00:00,7A,3800 MENLO DR,AUTO THEFT,Outside,NONE,632.0,NORTHWESTERN,Glen,-76.69399,39.35398,"(39.3539800000, -76.6939900000)",STREET,1,2015-01-19 22:48:00,Medium,Auto Theft,winter,1,23
129243,2015-01-19,23:00:00,7A,800 POPLAR GROVE ST,AUTO THEFT,Outside,NONE,721.0,SOUTHWESTERN,Mosher,-76.66505,39.29763,"(39.2976300000, -76.6650500000)",STREET,1,2015-01-19 22:52:00,Medium,Auto Theft,winter,1,23
129249,2015-01-19,22:18:00,4E,3400 W CATON AV,COMMON ASSAULT,Outside,HANDS,842.0,SOUTHWESTERN,Saint Josephs,-76.67445,39.28689,"(39.2868900000, -76.6744500000)",STREET,1,2015-01-19 22:14:00,Medium,Common Assault,winter,1,22
